CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
IL-500,McHenry County CoC,,196,60,133,0,193,3,123,60,60,0,120,3,73,0,73,73,0,23,0,23,23,0,43,43,0,43,0,43,43,0,43,0,0,0,0,0,57,,,,57,0,2012
IL-501,"Rockford/Winnebago, Boone Counties CoC",,410,230,149,0,379,31,283,154,105,0,259,24,127,76,44,120,7,38,22,14,36,2,73,60,0,60,13,51,43,0,43,8,22,17,17,5,16,8,8,0,16,0,2014
IL-501,"Rockford/Winnebago, Boone Counties CoC",,788,221,280,0,501,287,406,94,200,0,294,112,382,127,80,207,175,106,37,28,65,41,268,153,0,153,115,184,121,0,121,63,84,32,32,52,45,,,,32,13,2013
IL-501,"Rockford/Winnebago, Boone Counties CoC",,727,217,308,0,525,202,442,126,215,0,341,101,285,91,93,184,101,105,30,39,69,36,152,117,0,117,35,129,101,0,101,28,23,16,16,7,88,,,,71,17,2012
IL-502,"Waukegan, North Chicago/Lake County CoC",,409,213,176,15,404,5,206,85,101,15,201,5,203,128,75,203,0,67,43,24,67,0,31,17,13,30,1,24,10,13,23,1,7,7,7,0,70,9,61,0,70,0,2014
IL-502,"Waukegan, North Chicago/Lake County CoC",,497,328,150,14,492,5,337,252,66,14,332,5,160,76,84,160,0,53,25,28,53,0,62,47,14,61,1,62,47,14,61,1,0,0,0,0,82,,,,82,0,2013
IL-502,"Waukegan, North Chicago/Lake County CoC",,450,328,104,13,445,5,259,210,31,13,254,5,191,118,73,191,0,74,45,29,74,0,66,53,13,66,0,60,47,13,60,0,6,6,6,0,62,,,,62,0,2012
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",,205,14,179,0,193,12,148,12,124,0,136,12,57,2,55,57,0,17,1,16,17,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,23,0,21,0,21,2,2014
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",,214,59,112,0,171,43,156,59,71,0,130,26,58,0,41,41,17,15,0,11,11,4,8,4,0,4,4,8,4,0,4,4,0,0,0,0,31,,,,28,3,2013
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",,209,42,141,0,183,26,134,42,75,0,117,17,75,0,66,66,9,26,0,22,22,4,25,2,0,2,23,19,2,0,2,17,6,0,0,6,25,,,,25,0,2012
IL-504,Madison County CoC,,240,107,117,0,224,16,73,47,10,0,57,16,167,60,107,167,0,46,17,29,46,0,53,46,0,46,7,18,11,0,11,7,35,35,35,0,8,5,3,0,8,0,2014
IL-504,Madison County CoC,,201,70,103,0,173,28,46,20,9,0,29,17,155,50,94,144,11,44,17,24,41,3,7,1,0,1,6,7,1,0,1,6,0,0,0,0,7,,,,4,3,2013
IL-504,Madison County CoC,,196,78,104,0,182,14,44,24,6,0,30,14,152,54,98,152,0,49,22,27,49,0,11,6,0,6,5,11,6,0,6,5,0,0,0,0,4,,,,2,2,2012
IL-506,"Joliet, Bolingbrook/Will County CoC",,309,165,129,0,294,15,187,119,53,0,172,15,122,46,76,122,0,37,15,22,37,0,16,1,0,1,15,16,1,0,1,15,0,0,0,0,20,9,9,0,18,2,2014
IL-506,"Joliet, Bolingbrook/Will County CoC",,288,152,129,0,281,7,184,122,55,0,177,7,104,30,74,104,0,32,11,21,32,0,17,11,0,11,6,17,11,0,11,6,0,0,0,0,30,,,,30,0,2013
IL-506,"Joliet, Bolingbrook/Will County CoC",,291,135,147,0,282,9,164,95,60,0,155,9,127,40,87,127,0,42,12,30,42,0,15,7,0,7,8,15,7,0,7,8,0,0,0,0,24,,,,24,0,2012
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",,405,234,145,0,379,26,242,165,55,0,220,22,163,69,90,159,4,56,22,32,54,2,53,52,0,52,1,44,43,0,43,1,9,9,9,0,10,5,2,0,7,3,2014
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",,396,261,109,0,370,26,252,181,49,0,230,22,144,80,60,140,4,48,25,21,46,2,52,51,0,51,1,48,47,0,47,1,4,4,4,0,26,,,,23,3,2013
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",,376,238,129,0,367,9,220,158,56,0,214,6,156,80,73,153,3,48,23,24,47,1,48,47,0,47,1,48,47,0,47,1,0,0,0,0,22,,,,21,1,2012
IL-508,"East St. Louis, Belleville/St. Clair County CoC",,339,92,109,0,201,138,171,25,39,0,64,107,168,67,70,137,31,51,18,24,42,9,97,8,0,8,89,82,2,0,2,80,15,6,6,9,35,5,24,0,29,6,2014
IL-508,"East St. Louis, Belleville/St. Clair County CoC",,213,32,114,0,146,67,121,11,43,0,54,67,92,21,71,92,0,31,5,26,31,0,24,0,0,0,24,22,0,0,0,22,2,0,0,2,41,,,,29,12,2013
IL-508,"East St. Louis, Belleville/St. Clair County CoC",,451,59,107,0,166,285,193,12,36,0,48,145,258,47,71,118,140,73,17,25,42,31,70,4,0,4,66,38,2,0,2,36,32,2,2,30,67,,,,46,21,2012
IL-509,Dekalb City & County CoC,,96,43,47,0,90,6,34,28,0,0,28,6,62,15,47,62,0,18,6,12,18,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014
IL-509,Dekalb City & County CoC,,107,57,47,0,104,3,46,41,2,0,43,3,61,16,45,61,0,19,5,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2013
IL-509,Dekalb City & County CoC,,125,65,47,0,112,13,51,36,2,0,38,13,74,29,45,74,0,22,10,12,22,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,2,,,,2,0,2012
IL-510,Chicago CoC,,6287,1864,3424,40,5328,959,3738,1616,1127,40,2783,955,2549,248,2297,2545,4,783,80,701,781,2,655,390,31,421,234,655,390,31,421,234,0,0,0,0,714,162,296,0,458,256,2014
IL-510,Chicago CoC,,6276,2058,2965,37,5060,1216,3923,1750,942,37,2729,1194,2353,308,2023,2331,22,735,106,624,730,5,557,249,8,257,300,557,249,8,257,300,0,0,0,0,712,,,,406,306,2013
IL-510,Chicago CoC,,6710,1783,3165,40,4988,1722,4270,1506,1063,40,2609,1661,2440,277,2102,2379,61,770,90,650,740,30,1118,372,23,395,723,1112,372,23,395,717,6,0,0,6,520,,,,270,250,2012
IL-511,Cook County CoC,,1182,468,549,14,1031,151,643,341,142,14,497,146,539,127,407,534,5,177,42,134,176,1,97,53,14,67,30,97,53,14,67,30,0,0,0,0,105,19,62,3,84,21,2014
IL-511,Cook County CoC,,1242,506,570,15,1091,151,693,395,137,15,547,146,549,111,433,544,5,176,38,137,175,1,109,64,15,79,30,109,64,15,79,30,0,0,0,0,121,,,,100,21,2013
IL-511,Cook County CoC,,1242,430,564,15,1009,233,738,351,146,15,512,226,504,79,418,497,7,171,33,136,169,2,192,65,15,80,112,192,65,15,80,112,0,0,0,0,115,,,,88,27,2012
IL-512,Bloomington/Central Illinois CoC,,669,438,96,19,553,116,219,113,27,19,159,60,450,325,69,394,56,194,132,34,166,28,59,54,0,54,5,59,54,0,54,5,0,0,0,0,52,27,17,0,44,8,2014
IL-512,Bloomington/Central Illinois CoC,,536,274,130,16,420,116,353,214,63,16,293,60,183,60,67,127,56,75,17,30,47,28,62,53,4,57,5,57,48,4,52,5,5,5,5,0,15,,,,7,8,2013
IL-512,Bloomington/Central Illinois CoC,,668,291,140,21,452,216,361,221,30,21,272,89,307,70,110,180,127,89,21,29,50,39,60,39,10,49,11,60,39,10,49,11,0,0,0,0,25,,,,25,0,2012
IL-513,Springfield/Sangamon County CoC,,269,139,109,0,248,21,175,101,60,0,161,14,94,38,49,87,7,32,12,18,30,2,52,45,0,45,7,38,31,0,31,7,14,14,14,0,25,6,18,0,24,1,2014
IL-513,Springfield/Sangamon County CoC,,280,150,120,0,270,10,181,101,70,0,171,10,99,49,50,99,0,31,14,17,31,0,87,78,0,78,9,67,58,0,58,9,20,20,20,0,23,,,,22,1,2013
IL-513,Springfield/Sangamon County CoC,,251,114,128,0,242,9,160,114,37,0,151,9,91,0,91,91,0,27,0,27,27,0,97,92,0,92,5,96,91,0,91,5,1,1,1,0,18,,,,17,1,2012
IL-514,DuPage County CoC,,654,216,409,0,625,29,300,155,116,0,271,29,354,61,293,354,0,119,20,99,119,0,73,68,0,68,5,71,66,0,66,5,2,2,2,0,19,9,7,0,16,3,2014
IL-514,DuPage County CoC,,665,215,421,0,636,29,295,167,99,0,266,29,370,48,322,370,0,120,16,104,120,0,74,69,0,69,5,69,64,0,64,5,5,5,5,0,19,,,,16,3,2013
IL-514,DuPage County CoC,,641,168,440,0,608,33,286,130,126,0,256,30,355,38,314,352,3,115,13,101,114,1,113,98,0,98,15,93,81,0,81,12,20,17,17,3,31,,,,30,1,2012
IL-515,South Central Illinois CoC,,118,53,61,0,114,4,23,17,2,0,19,4,95,36,59,95,0,43,17,26,43,0,3,2,0,2,1,3,2,0,2,1,0,0,0,0,4,4,0,0,4,0,2014
IL-515,South Central Illinois CoC,,149,55,75,0,130,19,40,25,4,0,29,11,109,30,71,101,8,37,10,23,33,4,21,10,0,10,11,16,7,0,7,9,5,3,3,2,4,,,,3,1,2013
IL-515,South Central Illinois CoC,,124,74,50,0,124,0,33,32,1,0,33,0,91,42,49,91,0,29,14,15,29,0,12,12,0,12,0,6,6,0,6,0,6,6,6,0,0,,,,0,0,2012
IL-516,Decatur/Macon County CoC,,256,115,75,0,190,66,151,88,11,0,99,52,105,27,64,91,14,28,6,18,24,4,65,39,0,39,26,46,24,0,24,22,19,15,15,4,17,9,0,0,9,8,2014
IL-516,Decatur/Macon County CoC,,247,115,75,0,190,57,144,77,18,0,95,49,103,38,57,95,8,35,14,18,32,3,69,38,0,38,31,42,27,0,27,15,27,11,11,16,12,,,,10,2,2013
IL-516,Decatur/Macon County CoC,,210,94,61,3,158,52,122,62,11,3,76,46,88,32,50,82,6,31,12,17,29,2,49,26,3,29,20,41,26,3,29,12,8,0,0,8,9,,,,6,3,2012
IL-517,"Aurora, Elgin/Kane County CoC",,405,278,81,0,359,46,310,241,23,0,264,46,95,37,58,95,0,31,13,18,31,0,95,74,0,74,21,92,71,0,71,21,3,3,3,0,34,23,5,0,28,6,2014
IL-517,"Aurora, Elgin/Kane County CoC",,451,285,120,0,405,46,344,248,50,0,298,46,107,37,70,107,0,32,13,19,32,0,109,88,0,88,21,103,82,0,82,21,6,6,6,0,37,,,,31,6,2013
IL-517,"Aurora, Elgin/Kane County CoC",,431,258,130,0,388,43,313,221,56,0,277,36,118,37,74,111,7,40,12,25,37,3,74,65,0,65,9,71,62,0,62,9,3,3,3,0,34,,,,30,4,2012
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",,218,63,145,9,217,1,103,46,47,9,102,1,115,17,98,115,0,44,8,36,44,0,9,0,9,9,0,9,0,9,9,0,0,0,0,0,13,0,13,0,13,0,2014
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",,219,52,159,7,218,1,122,24,90,7,121,1,97,28,69,97,0,36,11,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,9,0,2013
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",,263,94,141,0,235,28,129,75,40,0,115,14,134,19,101,120,14,43,6,33,39,4,12,12,0,12,0,12,12,0,12,0,0,0,0,0,10,,,,10,0,2012
IL-519,West Central Illinois CoC,,145,60,80,0,140,5,61,38,18,0,56,5,84,22,62,84,0,29,7,22,29,0,6,6,0,6,0,4,4,0,4,0,2,2,2,0,5,4,1,0,5,0,2014
IL-519,West Central Illinois CoC,,133,48,80,0,128,5,44,21,18,0,39,5,89,27,62,89,0,22,8,14,22,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,5,,,,5,0,2013
IL-519,West Central Illinois CoC,,172,59,90,0,149,23,69,41,22,0,63,6,103,18,68,86,17,35,6,24,30,5,17,11,0,11,6,15,9,0,9,6,2,2,2,0,3,,,,1,2,2012
IL-520,Southern Illinois CoC,,325,163,116,0,279,46,175,88,54,0,142,33,150,75,62,137,13,49,23,20,43,6,39,18,0,18,21,28,9,0,9,19,11,9,9,2,39,7,27,0,34,5,2014
IL-520,Southern Illinois CoC,,338,159,104,0,263,75,160,81,40,0,121,39,178,78,64,142,36,59,28,21,49,10,35,11,0,11,24,22,7,0,7,15,13,4,4,9,23,,,,20,3,2013
IL-520,Southern Illinois CoC,,411,241,100,0,341,70,158,101,26,0,127,31,253,140,74,214,39,93,47,35,82,11,30,9,0,9,21,16,4,0,4,12,14,5,5,9,31,,,,26,5,2012
IN-502,Indiana Balance of State CoC,,4081,2385,1367,0,3752,329,2598,1642,637,0,2279,319,1483,743,730,1473,10,492,247,242,489,3,365,282,0,282,83,331,250,0,250,81,34,32,32,2,359,168,160,0,328,31,2014
IN-502,Indiana Balance of State CoC,,4497,2226,1691,0,3917,580,2642,1441,733,0,2174,468,1855,785,958,1743,112,588,244,311,555,33,398,272,0,272,126,347,224,0,224,123,51,48,48,3,423,,,,357,66,2013
IN-502,Indiana Balance of State CoC,,4612,2089,1807,0,3896,716,2177,1051,639,0,1690,487,2435,1038,1168,2206,229,801,319,392,711,90,251,124,0,124,127,246,119,0,119,127,5,5,5,0,342,,,,223,119,2012
IN-503,Indianapolis CoC,,1890,991,803,22,1816,74,1355,720,539,22,1281,74,535,271,264,535,0,162,95,67,162,0,231,188,15,203,28,211,168,15,183,28,20,20,20,0,366,84,275,0,359,7,2014
IN-503,Indianapolis CoC,,1599,861,594,24,1479,120,1109,580,389,24,993,116,490,281,205,486,4,151,84,66,150,1,182,113,24,137,45,164,95,24,119,45,18,18,18,0,320,,,,309,11,2013
IN-503,Indianapolis CoC,,1647,845,604,25,1474,173,1139,504,442,25,971,168,508,341,162,503,5,154,102,51,153,1,294,220,25,245,49,215,141,25,166,49,79,79,79,0,345,,,,324,21,2012
KS-502,Wichita/Sedgwick County CoC,,631,403,135,10,548,83,442,313,36,10,359,83,189,90,99,189,0,59,26,33,59,0,107,79,1,80,27,107,79,1,80,27,0,0,0,0,62,45,0,0,45,17,2014
KS-502,Wichita/Sedgwick County CoC,,538,321,137,9,467,71,360,241,39,9,289,71,178,80,98,178,0,49,21,28,49,0,91,62,5,67,24,91,62,5,67,24,0,0,0,0,56,,,,48,8,2013
KS-502,Wichita/Sedgwick County CoC,,550,339,119,17,475,75,368,234,45,17,296,72,182,105,74,179,3,55,30,24,54,1,138,93,13,106,32,127,84,13,97,30,11,9,9,2,53,,,,41,12,2012
KS-503,Topeka/Shawnee County CoC,,416,300,85,0,385,31,232,171,30,0,201,31,184,129,55,184,0,52,40,12,52,0,75,61,0,61,14,57,43,0,43,14,18,18,18,0,66,36,30,0,66,0,2014
KS-503,Topeka/Shawnee County CoC,,439,343,73,0,416,23,269,208,42,0,250,19,170,135,31,166,4,45,35,8,43,2,83,76,0,76,7,67,60,0,60,7,16,16,16,0,65,,,,63,2,2013
KS-503,Topeka/Shawnee County CoC,,577,447,80,0,527,50,405,338,22,0,360,45,172,109,58,167,5,43,29,12,41,2,56,44,0,44,12,46,35,0,35,11,10,9,9,1,93,,,,82,11,2012
KS-505,"Overland Park, Shawnee/Johnson County CoC",,167,74,86,0,160,7,24,11,9,0,20,4,143,63,77,140,3,45,20,24,44,1,6,3,0,3,3,2,1,0,1,1,4,2,2,2,1,0,1,0,1,0,2014
KS-505,"Overland Park, Shawnee/Johnson County CoC",,213,93,103,0,196,17,25,15,7,0,22,3,188,78,96,174,14,58,25,29,54,4,4,2,0,2,2,4,2,0,2,2,0,0,0,0,0,,,,0,0,2013
KS-505,"Overland Park, Shawnee/Johnson County CoC",,288,97,123,0,220,68,48,21,4,0,25,23,240,76,119,195,45,61,21,29,50,11,13,12,0,12,1,4,3,0,3,1,9,9,9,0,3,,,,1,2,2012
KS-507,Kansas Balance of State CoC,,1307,635,590,0,1225,82,692,407,208,0,615,77,615,228,382,610,5,204,85,117,202,2,79,41,0,41,38,71,33,0,33,38,8,8,8,0,213,19,184,0,203,10,2014
KS-507,Kansas Balance of State CoC,,1141,537,522,0,1059,82,645,288,280,0,568,77,496,249,242,491,5,182,88,92,180,2,129,91,0,91,38,100,62,0,62,38,29,29,29,0,231,,,,221,10,2013
KS-507,Kansas Balance of State CoC,,1043,414,568,0,982,61,561,262,248,0,510,51,482,152,320,472,10,164,57,103,160,4,115,100,0,100,15,83,70,0,70,13,32,30,30,2,184,,,,172,12,2012
KY-500,Kentucky Balance of State CoC,,2229,1093,466,0,1559,670,1267,696,183,0,879,388,962,397,283,680,282,287,130,90,220,67,300,160,0,160,140,241,137,0,137,104,59,23,23,36,179,104,63,0,167,12,2014
KY-500,Kentucky Balance of State CoC,,2392,1188,604,0,1792,600,1316,683,216,0,899,417,1076,505,388,893,183,349,165,127,292,57,356,144,0,144,212,219,103,0,103,116,137,41,41,96,245,,,,173,72,2013
KY-500,Kentucky Balance of State CoC,,2328,1055,572,0,1627,701,1340,677,135,0,812,528,988,378,437,815,173,320,134,135,269,51,233,105,0,105,128,148,76,0,76,72,85,29,29,56,170,,,,127,43,2012
KY-501,Louisville-Jefferson County CoC,,1316,723,512,11,1246,70,978,569,328,11,908,70,338,154,184,338,0,118,52,66,118,0,208,149,3,152,56,187,128,3,131,56,21,21,21,0,218,73,136,0,209,9,2014
KY-501,Louisville-Jefferson County CoC,,1445,769,603,10,1382,63,950,563,314,10,887,63,495,206,289,495,0,168,64,104,168,0,145,114,2,116,29,139,108,2,110,29,6,6,6,0,171,,,,167,4,2013
KY-501,Louisville-Jefferson County CoC,,1532,676,694,10,1380,152,1034,507,374,10,891,143,498,169,320,489,9,163,54,107,161,2,187,127,1,128,59,166,106,1,107,59,21,21,21,0,223,,,,198,25,2012
KY-502,Lexington-Fayette County CoC,,1544,566,887,0,1453,91,1107,496,522,0,1018,89,437,70,365,435,2,159,20,138,158,1,219,187,0,187,32,186,156,0,156,30,33,31,31,2,203,78,104,0,182,21,2014
KY-502,Lexington-Fayette County CoC,,1408,482,835,0,1317,91,1036,415,532,0,947,89,372,67,303,370,2,155,26,128,154,1,40,8,0,8,32,36,6,0,6,30,4,2,2,2,191,,,,170,21,2013
KY-502,Lexington-Fayette County CoC,,1370,401,911,0,1312,58,908,371,481,0,852,56,462,30,430,460,2,184,15,168,183,1,209,190,0,190,19,183,164,0,164,19,26,26,26,0,47,,,,44,3,2012
LA-500,Lafayette/Acadiana CoC,,471,184,257,0,441,30,290,137,123,0,260,30,181,47,134,181,0,57,14,43,57,0,43,35,0,35,8,43,35,0,35,8,0,0,0,0,46,21,19,0,40,6,2014
LA-500,Lafayette/Acadiana CoC,,542,165,268,0,433,109,358,120,129,0,249,109,184,45,139,184,0,58,14,44,58,0,83,31,0,31,52,71,31,0,31,40,12,0,0,12,62,,,,47,15,2013
LA-500,Lafayette/Acadiana CoC,,518,194,245,0,439,79,325,120,126,0,246,79,193,74,119,193,0,63,26,37,63,0,76,39,0,39,37,64,29,0,29,35,12,10,10,2,61,,,,49,12,2012
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",,655,168,357,4,529,126,373,125,118,4,247,126,282,43,239,282,0,84,14,70,84,0,128,56,0,56,72,119,47,0,47,72,9,9,9,0,68,16,38,0,54,14,2014
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",,692,223,281,9,513,179,399,156,85,9,250,149,293,67,196,263,30,94,21,66,87,7,155,48,0,48,107,153,46,0,46,107,2,2,2,0,97,,,,74,23,2013
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",,804,169,448,9,626,178,477,131,159,9,299,178,327,38,289,327,0,102,12,90,102,0,123,37,0,37,86,122,36,0,36,86,1,1,1,0,129,,,,92,37,2012
LA-503,New Orleans/Jefferson Parish CoC,,1981,593,555,15,1163,818,1695,536,326,15,877,818,286,57,229,286,0,91,19,72,91,0,472,77,0,77,395,465,70,0,70,395,7,7,7,0,193,38,85,3,126,67,2014
LA-503,New Orleans/Jefferson Parish CoC,,2337,578,705,15,1298,1039,1848,506,315,15,836,1012,489,72,390,462,27,152,24,117,141,11,677,88,2,90,587,649,86,2,88,561,28,2,2,26,211,,,,119,92,2013
LA-503,New Orleans/Jefferson Parish CoC,,4903,601,848,15,1464,3439,4325,532,384,15,931,3394,578,69,464,533,45,191,23,150,173,18,2422,137,10,147,2275,2368,106,10,116,2252,54,31,31,23,570,,,,188,382,2012
LA-505,Monroe/Northeast Louisiana CoC,,220,63,116,3,182,38,102,40,34,3,77,25,118,23,82,105,13,45,8,32,40,5,26,17,3,20,6,15,6,3,9,6,11,11,11,0,18,5,7,0,12,6,2014
LA-505,Monroe/Northeast Louisiana CoC,,200,49,114,9,172,28,88,27,24,9,60,28,112,22,90,112,0,40,9,31,40,0,23,3,7,10,13,23,3,7,10,13,0,0,0,0,6,,,,2,4,2013
LA-505,Monroe/Northeast Louisiana CoC,,257,73,117,8,198,59,119,44,14,8,66,53,138,29,103,132,6,48,11,35,46,2,64,29,6,35,29,58,25,6,31,27,6,4,4,2,16,,,,7,9,2012
LA-506,Slidell/Southeast Louisiana CoC,,262,84,135,0,219,43,164,67,64,0,131,33,98,17,71,88,10,30,6,21,27,3,33,20,0,20,13,30,20,0,20,10,3,0,0,3,43,5,36,0,41,2,2014
LA-506,Slidell/Southeast Louisiana CoC,,276,86,155,0,241,35,151,60,62,0,122,29,125,26,93,119,6,35,8,25,33,2,31,25,0,25,6,31,25,0,25,6,0,0,0,0,49,,,,47,2,2013
LA-506,Slidell/Southeast Louisiana CoC,,276,85,152,0,237,39,153,61,63,0,124,29,123,24,89,113,10,35,8,25,33,2,22,19,0,19,3,22,19,0,19,3,0,0,0,0,46,,,,43,3,2012
LA-507,Alexandria/Central Louisiana CoC,,141,55,73,0,128,13,111,55,43,0,98,13,30,0,30,30,0,9,0,9,9,0,28,19,0,19,9,28,19,0,19,9,0,0,0,0,5,1,1,0,2,3,2014
LA-507,Alexandria/Central Louisiana CoC,,118,38,49,0,87,31,92,38,25,0,63,29,26,0,24,24,2,7,0,6,6,1,9,3,0,3,6,7,3,0,3,4,2,0,0,2,24,,,,22,2,2013
LA-507,Alexandria/Central Louisiana CoC,,188,52,121,0,173,15,156,46,95,0,141,15,32,6,26,32,0,9,2,7,9,0,12,4,0,4,8,12,4,0,4,8,0,0,0,0,33,,,,31,2,2012
LA-509,Louisiana Balance of State CoC,,876,304,537,0,841,35,709,181,493,0,674,35,167,123,44,167,0,60,48,12,60,0,46,35,0,35,11,43,32,0,32,11,3,3,3,0,64,20,37,0,57,7,2014
LA-509,Louisiana Balance of State CoC,,1061,250,656,1,907,154,972,191,629,1,821,151,89,59,27,86,3,29,20,8,28,1,137,38,0,38,99,81,24,0,24,57,56,14,14,42,126,,,,72,54,2013
LA-509,Louisiana Balance of State CoC,,826,201,466,3,670,156,767,198,430,3,631,136,59,3,36,39,20,26,1,16,17,9,174,70,1,71,103,97,44,1,45,52,77,26,26,51,44,,,,40,4,2012
MA-500,Boston CoC,,5987,4675,1108,24,5807,180,2609,1527,878,24,2429,180,3378,3148,230,3378,0,1152,1060,92,1152,0,815,746,24,770,45,568,499,24,523,45,247,247,247,0,450,92,325,19,436,14,2014
MA-500,Boston CoC,,5881,4334,1338,16,5688,193,2541,1377,955,16,2348,193,3340,2957,383,3340,0,1164,992,172,1164,0,543,491,3,494,49,465,413,3,416,49,78,78,78,0,458,,,,446,12,2013
MA-500,Boston CoC,,5607,4142,1278,6,5426,181,2430,1307,936,6,2249,181,3177,2835,342,3177,0,1037,923,114,1037,0,670,581,6,587,83,480,391,6,397,83,190,190,190,0,355,,,,335,20,2012
MA-502,Lynn CoC,,382,320,52,0,372,10,122,70,42,0,112,10,260,250,10,260,0,77,74,3,77,0,6,2,0,2,4,6,2,0,2,4,0,0,0,0,11,10,0,0,10,1,2014
MA-502,Lynn CoC,,468,329,124,0,453,15,99,54,35,0,89,10,369,275,89,364,5,127,88,38,126,1,53,43,0,43,10,53,43,0,43,10,0,0,0,0,13,,,,11,2,2013
MA-502,Lynn CoC,,414,346,54,0,400,14,106,49,43,0,92,14,308,297,11,308,0,123,120,3,123,0,186,175,0,175,11,87,76,0,76,11,99,99,99,0,4,,,,3,1,2012
MA-503,Cape Cod Islands CoC,,381,246,49,0,295,86,223,97,49,0,146,77,158,149,0,149,9,63,60,0,60,3,108,72,0,72,36,79,43,0,43,36,29,29,29,0,17,6,9,0,15,2,2014
MA-503,Cape Cod Islands CoC,,514,242,79,0,321,193,357,92,79,0,171,186,157,150,0,150,7,62,59,0,59,3,149,58,0,58,91,135,44,0,44,91,14,14,14,0,24,,,,15,9,2013
MA-503,Cape Cod Islands CoC,,364,221,95,0,316,48,221,83,95,0,178,43,143,138,0,138,5,57,55,0,55,2,68,39,0,39,29,64,35,0,35,29,4,4,4,0,29,,,,20,9,2012
MA-504,Springfield/Hampden County CoC,,2690,2424,224,7,2655,35,438,283,113,7,403,35,2252,2141,111,2252,0,702,660,42,702,0,520,496,6,502,18,83,59,6,65,18,437,437,437,0,42,23,17,1,41,1,2014
MA-504,Springfield/Hampden County CoC,,2117,1838,227,7,2072,45,395,229,114,7,350,45,1722,1609,113,1722,0,560,517,43,560,0,332,297,7,304,28,95,60,7,67,28,237,237,237,0,33,,,,32,1,2013
MA-504,Springfield/Hampden County CoC,,2444,2071,326,12,2409,35,382,223,112,12,347,35,2062,1848,214,2062,0,693,612,81,693,0,155,130,5,135,20,106,81,5,86,20,49,49,49,0,34,,,,33,1,2012
MA-505,New Bedford CoC,,349,120,213,0,333,16,231,34,181,0,215,16,118,86,32,118,0,40,26,14,40,0,11,2,0,2,9,11,2,0,2,9,0,0,0,0,52,3,48,0,51,1,2014
MA-505,New Bedford CoC,,337,105,213,0,318,19,230,49,165,0,214,16,107,56,48,104,3,48,28,19,47,1,32,25,0,25,7,32,25,0,25,7,0,0,0,0,51,,,,50,1,2013
MA-505,New Bedford CoC,,374,104,250,0,354,20,258,30,208,0,238,20,116,74,42,116,0,43,24,19,43,0,20,10,0,10,10,18,8,0,8,10,2,2,2,0,54,,,,53,1,2012
MA-506,Worcester City & County CoC,,1796,1358,376,13,1747,49,468,198,211,13,422,46,1328,1160,165,1325,3,395,338,56,394,1,62,37,6,43,19,53,28,6,34,19,9,9,9,0,143,26,115,1,142,1,2014
