CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
AZ-501,Tucson/Pima County CoC,,2366,762,980,15,1757,609,1508,562,444,15,1021,487,858,200,536,736,122,256,64,159,223,33,395,162,9,171,224,366,151,9,160,206,29,11,11,18,353,,,,242,111,2012
AZ-502,"Phoenix, Mesa/Maricopa County CoC",,5918,2558,2282,25,4865,1053,3040,1396,575,25,1996,1044,2878,1162,1707,2869,9,848,336,510,846,2,403,76,9,85,318,403,76,9,85,318,0,0,0,0,310,100,161,1,262,48,2014
AZ-502,"Phoenix, Mesa/Maricopa County CoC",,5889,2177,2106,25,4308,1581,3460,1437,506,25,1968,1492,2429,740,1600,2340,89,801,246,533,779,22,499,161,25,186,313,482,152,25,177,305,17,9,9,8,511,,,,388,123,2013
AZ-502,"Phoenix, Mesa/Maricopa County CoC",,6485,2343,2368,25,4736,1749,3421,1077,578,25,1680,1741,3064,1266,1790,3056,8,875,361,511,872,3,955,141,25,166,789,932,118,25,143,789,23,23,23,0,852,,,,605,247,2012
CA-500,San Jose/Santa Clara City & County CoC,,7567,819,1065,9,1893,5674,6681,595,459,9,1063,5618,886,224,606,830,56,268,70,181,251,17,2535,271,5,276,2259,2513,258,5,263,2250,22,13,13,9,813,91,143,0,234,579,2014
CA-500,San Jose/Santa Clara City & County CoC,,7631,918,1023,16,1957,5674,6564,623,307,16,946,5618,1067,295,716,1011,56,349,124,208,332,17,2518,252,7,259,2259,2509,252,7,259,2250,9,0,0,9,718,,,,139,579,2013
CA-500,San Jose/Santa Clara City & County CoC,,7053,926,949,9,1884,5169,6270,780,368,9,1157,5113,783,146,581,727,56,262,50,194,244,18,2657,318,9,327,2330,2617,313,9,322,2295,40,5,5,35,667,,,,152,515,2012
CA-501,San Francisco CoC,,6408,1522,517,54,2093,4315,5776,1184,256,54,1494,4282,632,338,261,599,33,244,129,104,233,11,2321,784,27,811,1510,2136,615,27,642,1494,185,169,169,16,720,108,190,0,298,422,2014
CA-501,San Francisco CoC,,7008,1919,720,54,2693,4315,6329,1545,448,54,2047,4282,679,374,272,646,33,229,121,97,218,11,2093,583,0,583,1510,1977,483,0,483,1494,116,100,100,16,716,,,,294,422,2013
CA-501,San Francisco CoC,,5895,1757,742,25,2524,3371,5177,1447,429,25,1901,3276,718,310,313,623,95,268,109,119,228,40,1899,772,17,789,1110,1818,691,17,708,1110,81,81,81,0,774,,,,344,430,2012
