Location,Year,Total,SafeHaven_Housing,Percentage
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",2012,717,0,0.00
"Lowell CoC",2014,588,0,0.00
"Lowell CoC",2013,559,0,0.00
"Lowell CoC",2012,534,0,0.00
"Cambridge CoC",2014,551,0,0.00
"Cambridge CoC",2013,535,0,0.00
"Cambridge CoC",2012,485,0,0.00
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2014,1643,0,0.00
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2013,1690,0,0.00
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2012,1424,0,0.00
"Fall River CoC",2014,354,0,0.00
"Fall River CoC",2013,235,0,0.00
"Fall River CoC",2012,307,0,0.00
"Somerville CoC",2014,154,0,0.00
"Somerville CoC",2013,169,0,0.00
"Somerville CoC",2012,145,0,0.00
"Attleboro, Taunton/Bristol County CoC",2014,222,0,0.00
"Attleboro, Taunton/Bristol County CoC",2013,251,0,0.00
"Attleboro, Taunton/Bristol County CoC",2012,249,0,0.00
"Cumberland/Allegany County CoC",2014,120,0,0.00
"Cumberland/Allegany County CoC",2013,76,0,0.00
"Cumberland/Allegany County CoC",2012,110,0,0.00
